c,l1,adj_pR2,adj_weighted_pR2,num_coef
1e-05,0.0,-98.7805350545001,-109.7149921223397,120.0
1e-05,0.2,-inf,-inf,0.0
1e-05,0.4,-inf,-inf,0.0
1e-05,0.6,-inf,-inf,0.0
1e-05,0.8,-inf,-inf,0.0
1e-05,1.0,-inf,-inf,0.0
0.0001,0.0,-98.93155402200712,-101.08607982853873,120.0
0.0001,0.2,-2.9777246065295677,-4.456350896169474,6.0
0.0001,0.4,-inf,-inf,0.0
0.0001,0.6,-inf,-inf,0.0
0.0001,0.8,-inf,-inf,0.0
0.0001,1.0,-inf,-inf,0.0
0.001,0.0,-99.26980625950561,-77.02464823715076,120.0
0.001,0.2,-45.977298549494584,-37.88871610798156,56.666666666666664
0.001,0.4,-19.639696344596857,-17.06933903738587,25.333333333333332
0.001,0.6,-13.441810634622383,-11.868748431767832,18.0
0.001,0.8,-7.540519599509644,-6.9222277822568,11.0
0.001,1.0,-0.024225182597092425,-0.40470058556534577,2.0
0.01,0.0,-99.52359803481001,-44.24510512526124,120.0
0.01,0.2,-72.87068419471005,-32.616922278195666,88.33333333333333
0.01,0.4,-53.85034157962474,-24.349146668971894,65.66666666666667
0.01,0.6,-35.31567203045893,-16.039745759857755,43.666666666666664
0.01,0.8,-22.81194401978561,-10.182402038979255,28.666666666666668
0.01,1.0,-8.561387274287524,-3.3320728923342724,11.666666666666666
0.1,0.0,-99.64221636952483,-26.8184855413744,120.0
0.1,0.2,-90.94947066519728,-23.99086542169985,109.66666666666667
0.1,0.4,-78.62872281876919,-20.23434707525882,95.0
0.1,0.6,-70.74441831010027,-17.679915995510083,85.66666666666667
0.1,0.8,-60.40624934385664,-14.445946592276854,73.33333333333333
0.1,1.0,-25.497973033884975,-5.1674594221169645,31.666666666666668
1.0,0.0,-99.68072643627477,-19.317295535002607,120.0
1.0,0.2,-94.43898929401918,-17.978787390067577,113.66666666666667
1.0,0.4,-88.21575164933726,-16.432061714976246,106.33333333333333
1.0,0.6,-81.43524790166605,-14.742745326252589,98.33333333333333
1.0,0.8,-70.49435176629635,-12.20494166530048,85.33333333333333
1.0,1.0,-49.27116798664077,-7.4947467865330735,60.333333333333336
