,configuration,release,recall,precision,fpr,f_measure,g_measure,balance,accuracy,error,error_type1,error_type2,mcc,consistency,auc,auc_alberg,auc_roi,necm10,necm25,cost,nofb20,nofc80,bias_train,bias_train_processed,bias_test,ratio_bias,ratio_bias_processed,prop1_defect,prop1_clean,num_train,num_train_processed,num_test,diff,potential
0,5_Watanabe08,ant-ivy-1.4.1,0.3636363636363636,0.16,0.09170305676855896,0.22222222222222224,0.5193508114856429,0.5453748091522821,0.8833333333333333,0.1166666666666666,1.9090909090909092,0.03056768558951965,0.1861603785709097,0.333068678046844,0.6982929734021437,0.0014754601142428,0.4458809931848076,0.3791666666666666,0.8166666666666667,9994.0,1.0,133.0,0.0264462809917355,0.0264462809917355,0.0458333333333333,1.733072916666668,1.733072916666668,42.0,18.602620087336245,605,605,240,-2433.8,none
1,3_Peters15,ant-ivy-2.0.0,0.6,0.379746835443038,0.16225165562913907,0.46511627906976744,0.6992169507139566,0.6947741821581956,0.8039772727272727,0.1960227272727272,0.98,0.06622516556291391,0.366284142049828,0.5337748344370861,0.7401986754966887,0.0360843772234689,0.5263713529299382,0.7073863636363636,1.5596590909090908,21537.0,17.0,252.0,0.0458333333333333,0.0320855614973262,0.1420454545454545,3.0991735537190093,4.427083333333332,18.16,9.450331125827814,240,187,352,-137.05384615384617,none
2,3_Peters15,ant-ivy-2.1.0,0.5918367346938775,0.4084507042253521,0.13636363636363635,0.4833333333333334,0.7023581899298917,0.6957038511025238,0.8263305322128851,0.1736694677871148,0.8571428571428571,0.06493506493506493,0.392666578856911,0.5269016697588126,0.8419029949642195,0.0318644901301493,0.5360450589931129,0.6778711484593838,1.5182072829131652,23567.0,16.0,105.0,0.0625,0.0632183908045977,0.1372549019607843,2.1960784313725488,2.1711229946524067,22.632653061224488,8.636363636363637,352,348,357,-128.6348973607038,none
3,5_Watanabe08,ant-ivy-2.0.0,0.42,0.42,0.09602649006622517,0.41999999999999993,0.5735294117647058,0.5842951246410268,0.8352272727272727,0.1647727272727272,0.58,0.09602649006622517,0.3239735099337748,0.32397350993377483,0.813046357615894,0.028648344712933,0.5315541726939418,0.90625,2.1420454545454546,18317.0,10.0,115.0,0.037477384337038,0.037477384337038,0.1420454545454545,3.7901645768025065,3.7901645768025065,18.16,9.450331125827814,3869,3869,352,-46.614303959131576,none
4,3_Peters15,ant-ivy-2.2.0,0.7297297297297297,0.2872340425531915,0.20552147239263804,0.4122137404580153,0.7607288550448735,0.7599113761478871,0.7878787878787878,0.2121212121212121,1.8108108108108107,0.03067484662576687,0.3620540858530791,0.6990548831039629,0.848905654120378,0.0254611910915349,0.5486235452631423,0.4600550964187327,0.8732782369146006,27348.0,12.0,111.0,0.0672268907563025,0.0605187319884726,0.1019283746556473,1.516184573002754,1.6842450478814108,30.45945945945946,8.217791411042946,357,347,363,-99.50333333333344,none
5,5_Watanabe08,ant-ivy-2.1.0,0.5306122448979592,0.4406779661016949,0.10714285714285714,0.4814814814814815,0.6656426011264721,0.659555836827485,0.8431372549019608,0.1568627450980392,0.673469387755102,0.07467532467532467,0.3923388198758218,0.4559369202226345,0.8550887887622581,0.0332624519122647,0.5497268343032047,0.7366946778711485,1.7030812324929971,20603.0,14.0,96.0,0.0487958115183246,0.0487958115183246,0.1372549019607843,2.812841874947404,2.812841874947404,22.632653061224488,8.636363636363637,4775,4775,357,-168.01566951566952,none
6,3_Peters15,ant-ivy-2.3.0,0.8461538461538461,0.0956521739130434,0.2374429223744292,0.17187499999999986,0.8021834061135372,0.7999402833664863,0.7649667405764967,0.2350332594235033,8.0,0.0045662100456621,0.2336690904589379,0.8415876361081841,0.8189322093431682,0.0,0.4765847079572565,0.2749445676274945,0.3414634146341463,33914.0,1.0,99.0,0.09366391184573,0.0919540229885057,0.0288248337028824,0.30774748923959744,0.31347006651884624,87.23076923076923,8.833333333333334,363,348,451,3372.277777777778,large
7,3_Peters15,ant-ivy-2.4.0,0.7647058823529411,0.1428571428571428,0.17067833698030635,0.24074074074074064,0.7957041343669251,0.7944587431758883,0.8270042194092827,0.1729957805907173,4.588235294117647,0.0087527352297593,0.2804587935468667,0.7559531471231818,0.7798944523104646,0.0002205575880528,0.5605706694162437,0.2489451476793249,0.3755274261603376,29735.0,3.0,84.0,0.0133037694013303,0.0138888888888888,0.0358649789029535,2.6958509142053537,2.582278481012669,68.0,9.520787746170678,451,432,474,2886.9423076923076,large
8,5_Watanabe08,ant-ivy-2.2.0,0.5135135135135135,0.3166666666666666,0.12576687116564417,0.39175257731958757,0.6469920544835414,0.6446928037481072,0.837465564738292,0.162534435261708,1.1081081081081081,0.05521472392638037,0.3158353728489392,0.45829878958713316,0.8512269938650306,0.0192503968160446,0.5516341422250133,0.6088154269972452,1.3526170798898072,21931.0,6.0,89.0,0.0527690700104493,0.0527690700104493,0.1019283746556473,1.9315931593159308,1.9315931593159308,30.45945945945946,8.217791411042946,7656,7656,363,-544.4970238095239,none
9,3_Peters15,archiva-1.1,0.28125,0.3333333333333333,0.041379310344827586,0.3050847457627119,0.4349035285937771,0.4909254426782784,0.9122055674518201,0.0877944325481798,0.5625,0.052873563218390804,0.2596501519557774,0.22837643678160918,0.6906968390804598,0.0110400429425021,0.6109263359995538,0.5310492505353319,1.269807280513919,3899.0,19.0,234.0,0.0162790697674418,0.0129198966408268,0.0685224839400428,4.209238299174073,5.303640256959343,25.0625,5.577011494252874,430,387,467,-800.8846153846157,none
10,3_Peters15,archiva-1.2,0.85,0.1382113821138211,0.24708624708624707,0.2377622377622377,0.7985166872682324,0.7956086920889665,0.7572383073496659,0.242761692650334,5.3,0.006993006993006993,0.2788929131689835,0.843006993006993,0.8437062937062937,0.0040108159127906,0.6414862955637174,0.3028953229398664,0.4031180400890868,23757.0,7.0,89.0,0.0535331905781584,0.0558510638297872,0.0445434298440979,0.8320712694877497,0.7975395057800391,38.5,7.438228438228438,467,376,449,4685.214285714286,large
11,3_Peters15,archiva-1.3,0.6875,0.0932203389830508,0.24768518518518517,0.16417910447761186,0.7184485530546624,0.7180388316095464,0.75,0.25,6.6875,0.011574074074074073,0.1852992857414115,0.6759259259259259,0.8061342592592593,0.0060202900604686,0.6165612181047078,0.3504464285714285,0.5178571428571429,23028.0,6.0,164.0,0.0267260579064587,0.0216867469879518,0.0357142857142857,1.336309523809528,1.6468253968253967,52.5,7.423611111111111,449,415,448,2342.545454545455,large
12,5_Watanabe08,ant-ivy-2.3.0,0.5384615384615384,0.1428571428571428,0.0958904109589041,0.22580645161290314,0.674945215485756,0.6666737916146126,0.893569844789357,0.106430155210643,3.230769230769231,0.0136986301369863,0.2379472789708539,0.5247629083245522,0.8101510361784334,0.000837357158796,0.5657403702221628,0.2261640798226164,0.425720620842572,21118.0,2.0,86.0,0.0525348043078539,0.0525348043078539,0.0288248337028824,0.548680709534367,0.548680709534367,87.23076923076923,8.833333333333334,22842,22842,451,289.23333333333267,medium
13,3_Peters15,archiva-2.0.0,0.7777777777777778,0.0546875,0.2688888888888889,0.10218978102189781,0.7537227949599082,0.7533383383891166,0.7320261437908496,0.2679738562091503,13.444444444444445,0.0044444444444444444,0.1573372294672657,0.7733333333333333,0.8595061728395061,0.0,0.5659740734113159,0.3071895424836601,0.3725490196078431,34717.0,2.0,91.0,0.0357142857142857,0.0413223140495867,0.0196078431372549,0.5490196078431375,0.4745098039215695,125.55555555555556,12.875555555555556,448,242,459,1494.833333333333,large
14,3_Peters15,archiva-2.1.0,0.8333333333333334,0.037037037037037,0.28761061946902655,0.07092198581560277,0.7681297709923666,0.7649493180087166,0.7139737991266376,0.2860262008733624,21.666666666666668,0.0022123893805309734,0.136097054926155,0.8311209439528023,0.8713126843657817,0.0,0.5925383432559238,0.3056768558951965,0.3384279475982533,36736.0,1.0,96.0,0.0357142857142857,0.0452674897119341,0.0131004366812227,0.3668122270742358,0.2894005557761018,194.5,13.688053097345133,448,243,458,8742.0,large
15,3_Peters15,archiva-2.2.0,1.0,0.05,0.12555066079295155,0.09523809523809523,0.9330199764982374,0.911222276370852,0.87527352297593,0.12472647702407,19.0,0.0,0.2090991797218545,1.0,0.9544787077826724,0.0,0.7147950964598647,0.12472647702407,0.12472647702407,22383.0,1.0,41.0,0.0109170305676855,0.0112866817155756,0.0065645514223194,0.601312910284462,0.5816192560174999,392.6666666666667,14.244493392070485,458,443,457,inf,extra_large
16,3_Peters15,calcite-1.1.0,0.4690265486725664,0.2226890756302521,0.18686868686868688,0.301994301994302,0.5949036148778193,0.6019719154716632,0.7778785131459656,0.2221214868540344,1.6371681415929205,0.06060606060606061,0.2079947831883811,0.40842048806650577,0.7301376597836775,0.0072220753210537,0.4141471654091191,0.7116953762466002,1.5276518585675432,91622.0,14.0,542.0,0.0827906976744186,0.0693467336683417,0.1024478694469628,1.2374321309605059,1.477327972459826,59.85840707964602,11.66969696969697,1075,995,1103,-763.5169230769231,none
17,5_Watanabe08,ant-ivy-2.4.0,0.4705882352941176,0.1702127659574468,0.08533916849015317,0.25,0.6214458279130273,0.6208169371612259,0.8987341772151899,0.1012658227848101,2.2941176470588234,0.019693654266958426,0.2396962775957556,0.45089458102715924,0.8427081992534432,0.0002707951165185,0.5918018321700497,0.2721518987341772,0.5569620253164557,21320.0,3.0,103.0,0.0589141891220045,0.0589141891220045,0.0358649789029535,0.608766401395787,0.608766401395787,68.0,9.520787746170678,40228,40228,474,1270.1111111111113,large
18,3_Peters15,calcite-1.10.0,0.7380952380952381,0.1907692307692307,0.21451876019575855,0.30317848410757936,0.7610513434966604,0.7606128629350406,0.7824427480916031,0.2175572519083969,3.130952380952381,0.01794453507340946,0.2969649609215183,0.7201507030218286,0.8318865066418084,0.0047381365053686,0.5044871386912998,0.3687022900763358,0.6206106870229008,158623.0,25.0,321.0,0.0815956482320943,0.0797101449275362,0.0641221374045801,0.7858524173027983,0.8044413601665507,43.47619047619048,40.19331158238173,1103,966,1310,258.86699857752456,medium
19,5_Watanabe08,archiva-1.0,0.2857142857142857,0.0476190476190476,0.09456264775413711,0.08163265306122446,0.43436348171250355,0.49051684228871417,0.8953488372093024,0.1046511627906976,5.714285714285714,0.01182033096926714,0.0814810692546011,0.2738939547450186,0.7700101317122594,0.0,0.4524340239164827,0.2093023255813953,0.3837209302325581,11001.0,0.0,97.0,0.0357967667436489,0.0357967667436489,0.0162790697674418,0.4547636909227298,0.4547636909227298,30.285714285714285,6.529550827423168,1732,1732,430,4541.0,large
20,5_Watanabe08,archiva-1.1,0.25,0.1632653061224489,0.09425287356321839,0.1975308641975308,0.3918448533068125,0.46549854809602065,0.860813704496788,0.139186295503212,1.28125,0.05517241379310345,0.1283965869196342,0.19482758620689655,0.8280531609195402,0.0019501687147338,0.5476008369760841,0.6017130620985011,1.3725910064239828,12978.0,6.0,132.0,0.0401673640167364,0.0401673640167364,0.0685224839400428,1.7059243397573156,1.7059243397573156,25.0625,5.577011494252874,2390,2390,467,-348.0526315789473,none
21,3_Peters15,calcite-1.11.0,0.6125,0.1975806451612903,0.15907274180655476,0.29878048780487804,0.7087632941241174,0.7038071682283189,0.8271975957926371,0.1728024042073629,2.4875,0.02478017585931255,0.2767841420389141,0.5877198241406875,0.8175959232613909,0.0052541051624885,0.5019014099236584,0.382419233658903,0.7317806160781367,153821.0,31.0,397.0,0.0274809160305343,0.0282714054927302,0.0601051840721262,2.1871608648468186,2.126006225179779,45.8875,42.33013589128697,1310,1238,1331,-165.6140710382515,none
22,5_Watanabe08,archiva-1.2,0.4,0.1777777777777777,0.08624708624708624,0.24615384615384608,0.5564229950319376,0.5713751291128149,0.89086859688196,0.1091314031180401,1.85,0.027972027972027972,0.2155432724547125,0.37202797202797205,0.7842657342657343,0.0009571509437581,0.5520700762927374,0.3496659242761692,0.7505567928730512,13278.0,3.0,183.0,0.0448491437890731,0.0448491437890731,0.0445434298440979,0.9931835054329469,0.9931835054329469,38.5,7.438228438228438,3679,3679,449,373.12307692307695,medium
23,5_Watanabe08,archiva-1.3,0.5625,0.2045454545454545,0.08101851851851852,0.3,0.6978515625000001,0.6853809840911269,0.90625,0.09375,2.1875,0.016203703703703703,0.3002371522115312,0.5462962962962963,0.7161458333333334,0.0016800122826908,0.5546652297851626,0.234375,0.46875,14002.0,5.0,311.0,0.0550758011897908,0.0550758011897908,0.0357142857142857,0.648456943753111,0.648456943753111,52.5,7.423611111111111,5211,5211,448,4183.3,large
24,3_Peters15,calcite-1.12.0,0.6666666666666666,0.2101167315175097,0.15217391304347827,0.3195266272189349,0.7464114832535885,0.7408976930611431,0.8374558303886925,0.1625441696113074,2.506172839506173,0.020239880059970013,0.3100122429003131,0.6464267866066966,0.8461047254150702,0.0067551272848987,0.5066594154244959,0.3342756183745583,0.620494699646643,157250.0,25.0,390.0,0.0293012772351615,0.0293417922283901,0.0572438162544169,1.9536287034520252,1.950931143157294,51.04938271604938,39.95952023988006,1331,1261,1415,-161.83333333333258,none
